,starttime,stoptime,start station id,start station name,end station id,end station name,bikeid,name_localizedValue,usertype
0,2018-05-01 00:04:47,2018-05-01 00:10:25,3639,Harborside,3199,Newport Pkwy,33558,Annual Membership,Subscriber
1,2018-05-01 01:31:10,2018-05-01 01:55:53,3681,Grand St,3185,City Hall,33593,24 Hour,Customer
2,2018-05-01 01:31:29,2018-05-01 01:35:22,3194,McGinley Square,3193,Lincoln Park,29217,FREE Bonus Month with Annual Membership,Subscriber
3,2018-05-01 02:03:29,2018-05-01 02:06:40,3185,City Hall,3186,Grove St PATH,29662,24 Hour,Customer
4,2018-05-01 04:27:12,2018-05-01 04:32:16,3207,Oakland Ave,3195,Sip Ave,15271,Annual Membership,Subscriber
5,2018-05-01 04:37:05,2018-05-01 04:40:01,3194,McGinley Square,3195,Sip Ave,29298,Annual Membership,Subscriber
6,2018-05-01 05:05:46,2018-05-01 05:15:23,3225,Baldwin at Montgomery,3186,Grove St PATH,33619,Annual Membership from Citi Bike App,Subscriber
7,2018-05-01 05:11:50,2018-05-01 05:25:41,3207,Oakland Ave,3185,City Hall,33624,Annual Membership,Subscriber
8,2018-05-01 05:12:07,2018-05-01 05:18:42,3225,Baldwin at Montgomery,3186,Grove St PATH,26300,Annual Membership,Subscriber
9,2018-05-01 05:13:52,2018-05-01 05:16:43,3206,Hilltop,3195,Sip Ave,33555,$25 Off Annual Membership,Subscriber
10,2018-05-01 05:18:36,2018-05-01 05:24:29,3225,Baldwin at Montgomery,3195,Sip Ave,33627,Annual Membership,Subscriber
11,2018-05-01 05:23:26,2018-05-01 05:35:11,3185,City Hall,3187,Warren St,26216,Annual Membership,Subscriber
12,2018-05-01 05:23:32,2018-05-01 05:27:58,3269,Brunswick & 6th,3186,Grove St PATH,33592,Annual Membership,Subscriber
13,2018-05-01 05:31:40,2018-05-01 05:38:48,3212,Christ Hospital,3186,Grove St PATH,26160,Annual Membership from Citi Bike App,Subscriber
14,2018-05-01 05:34:23,2018-05-01 05:42:16,3225,Baldwin at Montgomery,3186,Grove St PATH,33640,Annual Membership,Subscriber
15,2018-05-01 05:34:30,2018-05-01 05:37:28,3267,Morris Canal,3183,Exchange Place,26190,Annual Membership,Subscriber
16,2018-05-01 05:41:11,2018-05-01 05:46:21,3207,Oakland Ave,3195,Sip Ave,29530,Annual Membership,Subscriber
17,2018-05-01 05:53:34,2018-05-01 05:55:40,3214,Essex Light Rail,3184,Paulus Hook,26163,Annual Membership,Subscriber
18,2018-05-01 05:53:42,2018-05-01 05:56:46,3276,Marin Light Rail,3186,Grove St PATH,29571,Annual Membership,Subscriber
19,2018-05-01 05:53:43,2018-05-01 05:56:33,3267,Morris Canal,3184,Paulus Hook,33634,Join Citi Bike for $14.95/month,Subscriber
20,2018-05-01 05:56:06,2018-05-01 06:00:28,3270,Jersey & 6th St,3202,Newport PATH,29540,Annual Membership,Subscriber
21,2018-05-01 05:56:08,2018-05-01 05:58:13,3270,Jersey & 6th St,3269,Brunswick & 6th,29446,Annual Membership,Subscriber
22,2018-05-01 06:04:09,2018-05-01 06:11:07,3281,Leonard Gordon Park,3195,Sip Ave,29493,Annual Membership,Subscriber
23,2018-05-01 06:05:18,2018-05-01 06:08:37,3276,Marin Light Rail,3186,Grove St PATH,26219,Annual Membership,Subscriber
24,2018-05-01 06:05:24,2018-05-01 06:14:56,3192,Liberty Light Rail,3187,Warren St,29244,Join Citi Bike for $14.95/month,Subscriber
25,2018-05-01 06:06:27,2018-05-01 06:07:45,3184,Paulus Hook,3183,Exchange Place,29290,Annual Membership,Subscriber
26,2018-05-01 06:07:04,2018-05-01 06:17:21,3192,Liberty Light Rail,3184,Paulus Hook,33665,Annual Membership,Subscriber
27,2018-05-01 06:07:23,2018-05-01 06:08:51,3211,Newark Ave,3186,Grove St PATH,26312,Annual Membership,Subscriber
28,2018-05-01 06:08:10,2018-05-01 06:13:33,3203,Hamilton Park,3186,Grove St PATH,29520,Annual Membership,Subscriber
29,2018-05-01 06:10:53,2018-05-01 06:13:34,3276,Marin Light Rail,3186,Grove St PATH,26170,Annual Membership,Subscriber
30,2018-05-01 06:15:55,2018-05-01 06:23:28,3280,Astor Place,3195,Sip Ave,33658,Annual Membership,Subscriber
31,2018-05-01 06:21:17,2018-05-01 06:24:14,3279,Dixon Mills,3269,Brunswick & 6th,33604,Annual Membership,Subscriber
32,2018-05-01 06:25:13,2018-05-01 06:59:30,3185,City Hall,3185,City Hall,29219,Annual Membership,Subscriber
33,2018-05-01 06:25:42,2018-05-01 06:32:18,3210,Pershing Field,3198,Heights Elevator,33567,Annual Membership,Subscriber
34,2018-05-01 06:26:18,2018-05-01 06:30:44,3203,Hamilton Park,3186,Grove St PATH,33646,Annual Membership,Subscriber
35,2018-05-01 06:28:03,2018-05-01 06:34:10,3278,Monmouth and 6th,3186,Grove St PATH,26235,Single Ride,Customer
36,2018-05-01 06:28:20,2018-05-01 06:30:13,3199,Newport Pkwy,3202,Newport PATH,33649,Annual Membership,Subscriber
37,2018-05-01 06:28:45,2018-05-01 06:31:33,3209,Brunswick St,3186,Grove St PATH,29280,Annual Membership,Subscriber
38,2018-05-01 06:30:23,2018-05-01 06:33:35,3209,Brunswick St,3186,Grove St PATH,26203,$25 Off Annual Membership,Subscriber
39,2018-05-01 06:34:48,2018-05-01 06:45:38,3191,Union St,3195,Sip Ave,33652,Annual Membership,Subscriber
40,2018-05-01 06:35:08,2018-05-01 06:37:45,3186,Grove St PATH,3481,York St,26160,Annual Membership,Subscriber
41,2018-05-01 06:35:19,2018-05-01 06:38:54,3267,Morris Canal,3183,Exchange Place,26232,Annual Membership,Subscriber
42,2018-05-01 06:35:47,2018-05-01 06:43:48,3276,Marin Light Rail,3184,Paulus Hook,29642,Annual Membership,Subscriber
43,2018-05-01 06:36:35,2018-05-01 06:40:12,3267,Morris Canal,3183,Exchange Place,26175,Annual Membership,Subscriber
44,2018-05-01 06:36:45,2018-05-01 06:47:49,3210,Pershing Field,3269,Brunswick & 6th,33655,Annual Membership,Subscriber
45,2018-05-01 06:37:05,2018-05-01 06:39:22,3214,Essex Light Rail,3183,Exchange Place,26179,Annual Membership from Citi Bike App,Subscriber
46,2018-05-01 06:37:57,2018-05-01 06:49:29,3277,Communipaw & Berry Lane,3183,Exchange Place,33579,Annual Membership,Subscriber
47,2018-05-01 06:38:28,2018-05-01 06:40:50,3269,Brunswick & 6th,3270,Jersey & 6th St,29446,Annual Membership,Subscriber
48,2018-05-01 06:39:45,2018-05-01 06:43:09,3481,York St,3639,Harborside,26306,Annual Membership,Subscriber
49,2018-05-01 06:40:07,2018-05-01 06:46:03,3639,Harborside,3202,Newport PATH,33618,Annual Membership,Subscriber
50,2018-05-01 06:42:19,2018-05-01 06:48:22,3184,Paulus Hook,3202,Newport PATH,26163,Annual Membership,Subscriber
51,2018-05-01 06:43:07,2018-05-01 06:46:29,3267,Morris Canal,3183,Exchange Place,29288,Join Citi Bike for $14.95/month,Subscriber
52,2018-05-01 06:43:19,2018-05-01 06:46:56,3214,Essex Light Rail,3183,Exchange Place,26255,Annual Membership,Subscriber
53,2018-05-01 06:45:59,2018-05-01 06:51:46,3195,Sip Ave,3212,Christ Hospital,29493,Annual Membership,Subscriber
54,2018-05-01 06:49:01,2018-05-01 06:51:37,3213,Van Vorst Park,3186,Grove St PATH,33569,Annual Membership,Subscriber
55,2018-05-01 06:49:01,2018-05-01 06:53:01,3267,Morris Canal,3183,Exchange Place,33595,Annual Membership from Citi Bike App,Subscriber
56,2018-05-01 06:49:57,2018-05-01 06:53:34,3276,Marin Light Rail,3186,Grove St PATH,33576,Annual Membership,Subscriber
57,2018-05-01 06:50:04,2018-05-01 06:57:46,3195,Sip Ave,3281,Leonard Gordon Park,33555,Annual Membership,Subscriber
58,2018-05-01 06:50:28,2018-05-01 06:53:20,3213,Van Vorst Park,3272,Jersey & 3rd,33621,Annual Membership,Subscriber
59,2018-05-01 06:50:29,2018-05-01 06:53:17,3213,Van Vorst Park,3272,Jersey & 3rd,33653,Annual Membership,Subscriber
60,2018-05-01 06:51:13,2018-05-01 06:57:06,3203,Hamilton Park,3186,Grove St PATH,29434,Annual Membership,Subscriber
61,2018-05-01 06:51:33,2018-05-01 06:55:11,3203,Hamilton Park,3186,Grove St PATH,26224,Annual Membership,Subscriber
62,2018-05-01 06:52:07,2018-05-01 06:57:45,3267,Morris Canal,3186,Grove St PATH,26265,Annual Membership,Subscriber
63,2018-05-01 06:55:11,2018-05-01 06:57:49,3267,Morris Canal,3184,Paulus Hook,33565,$25 Off Annual Membership,Subscriber
64,2018-05-01 06:55:46,2018-05-01 06:59:54,3187,Warren St,3183,Exchange Place,26216,Annual Membership,Subscriber
65,2018-05-01 06:56:20,2018-05-01 07:05:35,3198,Heights Elevator,3206,Hilltop,33560,Annual Membership from Citi Bike App,Subscriber
66,2018-05-01 06:58:32,2018-05-01 07:10:17,3213,Van Vorst Park,3195,Sip Ave,33615,Annual Membership,Subscriber
67,2018-05-01 06:58:41,2018-05-01 07:04:22,3203,Hamilton Park,3202,Newport PATH,29461,Annual Membership,Subscriber
68,2018-05-01 06:58:54,2018-05-01 07:04:00,3186,Grove St PATH,3205,JC Medical Center,26224,Annual Membership,Subscriber
69,2018-05-01 06:59:29,2018-05-01 07:03:34,3267,Morris Canal,3183,Exchange Place,29617,FREE Bonus Month with Annual Membership,Subscriber
70,2018-05-01 06:59:47,2018-05-01 07:02:11,3481,York St,3186,Grove St PATH,26269,Annual Membership,Subscriber
71,2018-05-01 07:00:29,2018-05-01 07:02:16,3199,Newport Pkwy,3202,Newport PATH,26281,Annual Membership,Subscriber
72,2018-05-01 07:01:14,2018-05-01 07:04:08,3270,Jersey & 6th St,3186,Grove St PATH,33629,Annual Membership,Subscriber
73,2018-05-01 07:01:44,2018-05-01 07:06:11,3269,Brunswick & 6th,3186,Grove St PATH,33604,Annual Membership,Subscriber
74,2018-05-01 07:01:59,2018-05-01 07:04:08,3483,Montgomery St,3186,Grove St PATH,33607,Annual Membership,Subscriber
75,2018-05-01 07:02:07,2018-05-01 07:03:39,3199,Newport Pkwy,3202,Newport PATH,29577,Annual Membership,Subscriber
76,2018-05-01 07:04:07,2018-05-01 07:07:08,3194,McGinley Square,3195,Sip Ave,33601,Annual Membership,Subscriber
77,2018-05-01 07:05:11,2018-05-01 07:10:55,3185,City Hall,3184,Paulus Hook,33593,Annual Membership,Subscriber
78,2018-05-01 07:05:46,2018-05-01 07:17:49,3196,Riverview Park,3186,Grove St PATH,29529,Annual Membership,Subscriber
79,2018-05-01 07:05:53,2018-05-01 07:15:21,3195,Sip Ave,3194,McGinley Square,33652,Annual Membership,Subscriber
80,2018-05-01 07:06:47,2018-05-01 07:11:01,3269,Brunswick & 6th,3279,Dixon Mills,29513,Annual Membership,Subscriber
